1;DESTA TERRA NADA VAI SOBRAR A NÃO SER O VENTO QUE SOPRA ;F. Scott Fitzgerald;Romance;https://www.saraiva.com.br/desta-terra-nada-vai-sobrar-a-nao-ser-o-vento-que-sopra-8689/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
2;UTOPIA SELVAGEM ;F. Scott Fitzgerald;Fantasia;https://www.saraiva.com.br/utopia-selvagem-8654/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
3;O jardim esquecido ;Octavia Butler;Misterio;https://www.saraiva.com.br/o-jardim-esquecido/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
4;ANTóNIO LOBO ANTUNES ;Margaret Atwood;Historia;https://www.saraiva.com.br/antonio-lobo-antunes-17327/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
5;AGÊNCIA BARNETT E ASSOCIADOS ;Harper Lee;Aventura;https://www.saraiva.com.br/agencia-barnett-e-associados-91873/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
6;RELATOS DO MUNDO ;Kurt Vonnegut;Aventura;https://www.saraiva.com.br/relatos-do-mundo-91871/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
7;O SEGREDO DE DARWIN ;Charlotte Bronte;Historia;https://www.saraiva.com.br/o-segredo-de-darwin-10397/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
8;REVANCHISMO ;C.S. Lewis;Romance;https://www.saraiva.com.br/revanchismo-17724/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
9;O conto da cidade de Cristal ;Jean-Paul Sartre;Historia;https://www.saraiva.com.br/o-conto-da-cidade-de-cristal-201583/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
10;SHERLOCK HOLMES (OBRA COMPLETA #4) ;William Faulkner;Aventura;https://www.saraiva.com.br/sherlock-holmes--obra-completa--4--91839/p;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquet, nisi nec gravida venenatis, ex eros pellentesque erat, et scelerisque ipsum orci in arcu. Donec id purus eget urna aliquet tristique. Ut non nisi euismod, aliquam sapien vitae, aliquet mauris. Donec nec mauris vel odio suscipit aliquam. Nullam vitae felis eget augue bibendum lacinia. Suspendisse potenti. Nulla facilisi. Proin at dui at mi consectetur molestie. Praesent semper, massa sit amet dictum venenatis, massa eros ultricies lacus, sit amet cursus enim lorem et nisi. Etiam id leo sed justo feugiat accumsan. Maecenas ut tellus vitae nunc lacinia malesuada. Donec nec metus et diam porta aliquam. Aenean ultricies, velit in ultricies malesuada, ligula metus eleifend eros, sit amet ultricies est justo ac dui. Nulla facilisi. Sed quis semper quam. Donec quis libero vitae ante fermentum tincidunt.
